"Energy [MeV]","Nb protons [/MeV]"
1.748999999999999999e-01,1.392969637251388095e+07
1.748999999999999999e-01,1.412587747098924778e+07
1.748999999999999999e-01,1.432541209251547791e+07
1.748999999999999999e-01,1.452746185632985272e+07
1.748999999999999999e-01,1.473286514319508895e+07
1.748999999999999999e-01,1.494078357234847173e+07
1.748999999999999999e-01,1.515205552455271408e+07
1.748999999999999999e-01,1.536584261904510297e+07
1.748999999999999999e-01,1.558214485582563840e+07
1.748999999999999999e-01,1.580263899641974829e+07
1.748999999999999999e-01,1.602564827930200472e+07
1.748999999999999999e-01,1.625201108523512259e+07
1.748999999999999999e-01,1.648088903345638700e+07
1.748999999999999999e-01,1.671395888549122587e+07
1.748999999999999999e-01,1.694954387981421128e+07
1.748999999999999999e-01,1.718932077795077115e+07
1.748999999999999999e-01,1.743161281837547943e+07
1.748999999999999999e-01,1.767809676261376217e+07
1.748999999999999999e-01,1.792709584914019331e+07
1.748999999999999999e-01,1.818028683948019892e+07
1.748999999999999999e-01,1.843683135287106410e+07
1.748999999999999999e-01,1.869756777007550746e+07
1.748999999999999999e-01,1.896165771033081040e+07
1.748999999999999999e-01,1.922910117363697663e+07
1.748999999999999999e-01,1.950073654075671732e+07
1.748999999999999999e-01,1.977572543092731759e+07
1.748999999999999999e-01,2.005490622491149604e+07
1.748999999999999999e-01,2.033827892270925269e+07
1.748999999999999999e-01,2.062500514355786890e+07
1.748999999999999999e-01,2.091592326822005957e+07
1.748999999999999999e-01,2.121187167745854333e+07
1.748999999999999999e-01,2.151117360974788666e+07
1.748999999999999999e-01,2.181466744585080817e+07
1.748999999999999999e-01,2.212235318576730415e+07
1.748999999999999999e-01,2.243506921026009321e+07
1.748999999999999999e-01,2.275113875780374184e+07
1.748999999999999999e-01,2.307307697068639845e+07
1.748999999999999999e-01,2.339836870661991462e+07
1.748999999999999999e-01,2.372869072712972388e+07
1.748999999999999999e-01,2.406404303221582249e+07
1.748999999999999999e-01,2.440358724111549929e+07
1.748999999999999999e-01,2.474816173459146544e+07
1.748999999999999999e-01,2.509692813188100979e+07
1.748999999999999999e-01,2.545156319450956210e+07
1.748999999999999999e-01,2.581122854171440378e+07
1.748999999999999999e-01,2.617508579273282364e+07
1.748999999999999999e-01,2.654481170909024775e+07
1.748999999999999999e-01,2.691956791002396494e+07
1.748999999999999999e-01,2.729935439553397149e+07
1.748999999999999999e-01,2.768500954638298973e+07
